left_wheel_current_velocity,left_wheel_target_velocity,left_wheel_current_sin_position,left_wheel_current_cos_position,left_wheel_torque
0.0,0,0.0,0.0,0.0
0.0,0,0.140658,-0.990058,-0.521633
0.0,0,0.140658,-0.990058,-0.521633
-0.020944,0,0.143695,-0.989622,-0.471
-0.0523599,0,0.143695,-0.989622,-0.521633
-0.020944,0,0.142177,-0.989841,-0.571848
0.0314159,0,0.140658,-0.990058,-0.521633
0.0,0,0.142177,-0.989841,-0.546793
0.010472,0,0.140658,-0.990058,-0.521633
0.020944,0,0.142177,-0.989841,-0.496368
0.0,0,0.140658,-0.990058,-0.546793
0.010472,0,0.140658,-0.990058,-0.521633
0.010472,0,0.140658,-0.990058,-0.521633
0.0,0,0.140658,-0.990058,-0.546793
0.0,0,0.140658,-0.990058,-0.521633
-0.010472,0,0.142177,-0.989841,-0.496368
-0.020944,0,0.142177,-0.989841,-0.471
-0.0418879,0,0.143695,-0.989622,-0.546793
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.140658,-0.990058,-0.546793
0.020944,0,0.140658,-0.990058,-0.546793
0.020944,0,0.140658,-0.990058,-0.521633
0.010472,0,0.140658,-0.990058,-0.546793
0.0,0,0.140658,-0.990058,-0.546793
0.0,0,0.140658,-0.990058,-0.521633
0.0,0,0.142177,-0.989841,-0.496368
-0.020944,0,0.142177,-0.989841,-0.496368
-0.010472,0,0.142177,-0.989841,-0.546793
0.0,0,0.142177,-0.989841,-0.546793
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.496368
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.496368
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.496368
0.0,0,0.142177,-0.989841,-0.546793
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.496368
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.496368
0.0,0,0.142177,-0.989841,-0.546793
0.0,0,0.142177,-0.989841,-0.546793
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.496368
0.0,0,0.142177,-0.989841,-0.546793
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.496368
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.496368
0.0,0,0.142177,-0.989841,-0.496368
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.496368
0.0,0,0.142177,-0.989841,-0.546793
0.0,0,0.142177,-0.989841,-0.546793
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.546793
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.546793
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.496368
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.496368
0.0,0,0.142177,-0.989841,-0.496368
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.496368
0.0,0,0.142177,-0.989841,-0.496368
0.0,0,0.142177,-0.989841,-0.496368
0.0,0,0.142177,-0.989841,-0.496368
0.0,0,0.142177,-0.989841,-0.546793
0.0,0,0.142177,-0.989841,-0.496368
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.496368
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.546793
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.496368
0.0,0,0.142177,-0.989841,-0.496368
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.521633
0.0,0,0.142177,-0.989841,-0.496368
0.0,0,0.142177,-0.989841,-0.521633
