left_hip_current_position,left_hip_target_position,right_hip_current_position,right_hip_target_position,left_shoulder_current_position,left_shoulder_target_position,right_shoulder_current_position,right_shoulder_target_position,left_leg_current_position,left_leg_target_position,right_leg_current_position,right_leg_target_position,left_wheel_current_velocity,left_wheel_target_velocity,right_wheel_current_velocity,right_wheel_target_velocity
-0.0006240029906853502,0.0,0.0006246531379339768,0.0,-0.0009020762382623249,0.0,-0.0009012234992403857,0.0,0.0010012123250767958,0.0,0.001000637748770282,0.0,0.022078098025546555,0.0,0.026114637291890327,0.0
-0.0013871053258522653,0.0,0.0013885230885076077,0.0,-0.001685788310420937,0.0,-0.0016843972564051474,0.0,0.001792681273990412,0.0,0.0017925070205299445,0.0,-0.0414567397729427,0.0,-0.03107452567653047,0.0
-0.0020908266134916625,0.0,0.0020933239154280556,0.0,-0.0022278522322398708,0.0,-0.0022263806757381976,0.0,0.0023656715227293964,0.0,0.002366212594947613,0.0,-0.1001591424803279,0.0,-0.08615217406775572,0.0
-0.002677952391542521,0.0,0.0026818638448761097,0.0,-0.0025760193384876946,0.0,-0.002574849817152083,0.0,0.0028050598766539516,0.0,0.0028064915522644064,0.0,-0.12105533715729071,0.0,-0.10597674333795613,0.0
-0.003146202649618582,0.0,0.003151767652699083,0.0,-0.002795937911094028,0.0,-0.002795324587727174,0.0,0.0031565925082634168,0.0,0.0031590946999474536,0.0,-0.12017318720651164,0.0,-0.10564298670362039,0.0
-0.003511412098038612,0.0,0.003518747859533403,0.0,-0.0029347167013971448,0.0,-0.0029347937877399425,0.0,0.0034408660317006984,0.0,0.0034445941683466106,0.0,-0.10609630941036141,0.0,-0.09286198928964215,0.0
-0.0037925311014774823,0.0,0.0038016303396417265,0.0,-0.003022349645874883,0.0,-0.003023108374356185,0.0,0.0036689006455428936,0.0,0.003673973515243766,0.0,-0.0866624175647368,0.0,-0.07503365657056865,0.0
-0.004006836308072817,0.0,0.004017288033515353,0.0,-0.0030772346440164702,0.0,-0.0030783800781456513,0.0,0.003848962984098592,0.0,0.003855530917392755,0.0,-0.06687766965383343,0.0,-0.057104383318628264,0.0
-0.004168961527026351,0.0,0.00418041885280191,0.0,-0.003112035447203462,0.0,-0.0031133180988479974,0.0,0.003988814834034803,0.0,0.00399680383662615,0.0,-0.049196753085781246,0.0,-0.040895251444300965,0.0
-0.004290414592536713,0.0,0.004302632730248067,0.0,-0.0031338351517980266,0.0,-0.003135089848053546,0.0,0.0040952141276186,0.0,0.004104465552306089,0.0,-0.034866149837325944,0.0,-0.027752558666425647,0.0
-0.0043801648971253165,0.0,0.004392977319152206,0.0,-0.0031466889561999386,0.0,-0.003147823421397454,0.0,0.0041743719058621245,0.0,0.004184720660707273,0.0,-0.023930997130440758,0.0,-0.017815352194506986,0.0
-0.004445232342185882,0.0,0.00445852544100349,0.0,-0.003153003329140708,0.0,-0.0031539750623301565,0.0,0.0042318914487019,0.0,0.00424319102268892,0.0,-0.015906040414900312,0.0,-0.010651572059712937,0.0
-0.004491155813695426,0.0,0.004504849467299455,0.0,-0.003154269915635946,0.0,-0.0031550662025650184,0.0,0.0042726835998453715,0.0,0.004284810079958041,0.0,-0.010146025178192476,0.0,-0.005645519595962312,0.0
-0.0045223402481445255,0.0,0.004536375023605057,0.0,-0.003151458610665351,0.0,-0.0031520827793588067,0.0,0.00430095008971402,0.0,0.0043137994347390626,0.0,-0.006026529642873363,0.0,-0.0021900136377979145,0.0
-0.004542310533806072,0.0,0.004556640043265619,0.0,-0.003145231446482721,0.0,-0.003145694510412757,0.0,0.004320222193145383,0.0,0.0043337064022254896,0.0,-0.0030172092570391923,0.0,0.00023394143428546272,0.0
-0.004553899256907942,0.0,0.004568485891632168,0.0,-0.0031360616103612285,0.0,-0.003136377611834899,0.0,0.004333428819889525,0.0,0.0043474727819558445,0.0,-0.0007002010016889828,0.0,0.00203552508533493,0.0
-0.00455938818935797,0.0,0.004574200829377324,0.0,-0.0031243015270518634,0.0,-0.003124485127406214,0.0,0.0043429748695637035,0.0,0.004357514154453913,0.0,0.0012365677058460845,0.0,0.0035193613019618994,0.0
-0.004560932936922631,0.0,0.004576529867427651,0.0,-0.0031116886518477386,0.0,-0.003112314994899223,0.0,0.004351148104273062,0.0,0.004365940966929975,0.0,0.003058165296743346,0.0,0.0055567651490341305,0.0
-0.004561494295646147,0.0,0.004578168392544978,0.0,-0.00310203801400742,0.0,-0.003103389202818571,0.0,0.0043595122826571775,0.0,0.0043745814255624245,0.0,0.005580429156229079,0.0,0.007843681673273673,0.0
-0.004562960559493086,0.0,0.0045807671698115116,0.0,-0.0030960893018299475,0.0,-0.0030981760532826775,0.0,0.004368775663096713,0.0,0.0043842297506677275,0.0,0.0077617362755097764,0.0,0.009593755832540813,0.0
-0.004566510506256769,0.0,0.004585361053960152,0.0,-0.003093693119531728,0.0,-0.0030964349578028773,0.0,0.0043797482567661345,0.0,0.0043956533193929195,0.0,0.009373382141600887,0.0,0.010860185922481861,0.0
-0.004572906206634442,0.0,0.004592647168790248,0.0,-0.003094573155408038,0.0,-0.0030978532148341373,0.0,0.00439322116773672,0.0,0.0044095881502737334,0.0,0.01055386307024267,0.0,0.011813907812758151,0.0
-0.004582658662235161,0.0,0.0046031208068547,0.0,-0.003098494177201967,0.0,-0.0031021881457830116,0.0,0.00440985035554177,0.0,0.004426651174138784,0.0,0.011478896555357092,0.0,0.012614614191825205,0.0
