left_hip_current_position,left_hip_target_position,left_hip_current_velocity,left_hip_torque,right_hip_current_position,right_hip_target_position,right_hip_current_velocity,right_hip_torque,left_shoulder_current_position,left_shoulder_target_position,left_shoulder_current_velocity,left_shoulder_torque,right_shoulder_current_position,right_shoulder_target_position,right_shoulder_current_velocity,right_shoulder_torque,left_leg_current_position,left_leg_target_position,left_leg_current_velocity,left_leg_torque,right_leg_current_position,right_leg_target_position,right_leg_current_velocity,right_leg_torque,left_wheel_current_velocity,left_wheel_target_velocity,left_wheel_current_sin_position,left_wheel_current_cos_position,left_wheel_torque,right_wheel_current_velocity,right_wheel_target_velocity,right_wheel_current_sin_position,right_wheel_current_cos_position,right_wheel_torque
0,0,0,0,0,0,0,0,0,-0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0
-0.106623,0,0.0122108,0.931868,0.115396,0,-0.0122108,-1.02564,-0.0940342,-0,0.0122108,0.826374,-0.0677118,-0,0.0366287,0.615385,0.0505457,0,0.0610504,-0.463003,0.0398645,0,-0.0610504,-0.334066,0,0,0.140658,-0.990058,-0.521633,-0,-0,0.761202,0.648514,0.471
-0.102808,0,1.18437,2.33846,0.111582,0,-1.20879,-2.60806,-0.0906,-0,1.01343,2.08059,-0.065423,-0,0.671551,1.54139,0.0482569,0,-0.573872,-1.15458,0.0398645,0,-0.10989,-0.650549,0,0,0.140658,-0.990058,-0.521633,-0,-0,0.761202,0.648514,0.471
-0.0871668,0,1.94139,2.42051,0.0951786,0,-1.84371,-2.9011,-0.0795374,-0,1.23321,2.49084,-0.0577936,-0,0.695972,1.89304,0.0413904,0,-0.744812,-1.35385,0.0371943,0,-0.525032,-1.0022,-0.020944,0,0.143695,-0.989622,-0.471,-0.010472,-0,0.760207,0.649681,0.496368
-0.0688562,0,2.01465,2.50256,0.0761042,0,-2.30769,-2.50256,-0.0658045,-0,1.74603,2.02198,-0.0513086,-0,0.671551,1.79927,0.0360498,0,-0.402931,-1.35385,0.0329981,0,-0.402931,-1.1663,-0.0523599,0,0.143695,-0.989622,-0.521633,-0.0418879,-0,0.759209,0.650847,0.496368
-0.0551233,0,1.25763,2.06886,0.0585566,0,-1.57509,-2.13919,-0.0490198,-0,1.77045,1.72894,-0.0459681,-0,0.50061,1.62344,0.0352869,0,0.0854683,-1.34212,0.0322351,0,0.134312,-1.28352,-0.020944,0,0.142177,-0.989841,-0.571848,-0.020944,-0,0.760207,0.649681,0.419954
-0.0471125,0,0.76923,1.8696,0.0478754,0,-0.915752,-1.93993,-0.034524,-0,1.77045,1.13114,-0.0406275,-0,0.744812,1.21319,0.0349054,0,-0.10989,-1.11941,0.033761,0,0.0610504,-1.06081,0.0314159,0,0.140658,-0.990058,-0.521633,0.0418879,-0,0.762196,0.647346,0.445528
-0.0425348,0,0.451771,1.6,0.0425348,0,-0.32967,-1.69377,-0.0192642,-0,1.55067,0.838095,-0.0307083,-0,1.15995,0.931868,0.0322351,0,-0.50061,-0.931868,0.0326166,0,-0.28083,-0.978754,0,0,0.142177,-0.989841,-0.546793,0.0418879,-0,0.761202,0.648514,0.471
-0.0387201,0,0.525032,1.26007,0.0413904,0,-0.134312,-1.42418,-0.00743866,-0,1.23321,0.392673,-0.0211716,-0,0.98901,0.849817,0.0265121,0,-0.695972,-0.767765,0.0291824,0,-0.54945,-0.849817,0.010472,0,0.140658,-0.990058,-0.521633,-0,-0,0.761202,0.648514,0.471
-0.0329981,0,0.72039,0.990477,0.0379572,0,-0.54945,-1.08425,0.00171661,-0,0.866909,0.181684,-0.0127792,-0,0.915752,0.427839,0.0185013,0,-0.964592,-0.568499,0.0230789,0,-0.818069,-0.685715,0.020944,0,0.142177,-0.989841,-0.496368,-0,-0,0.761202,0.648514,0.471
