left_hip_current_position,left_hip_target_position,right_hip_current_position,right_hip_target_position,left_shoulder_current_position,left_shoulder_target_position,right_shoulder_current_position,right_shoulder_target_position,left_leg_current_position,left_leg_target_position,right_leg_current_position,right_leg_target_position,left_wheel_current_velocity,left_wheel_target_velocity,right_wheel_current_velocity,right_wheel_target_velocity
0.006623068253150621,-0.046681247651576996,-0.007911723143397973,0.0450483001768589,0.016957433527009683,-0.016061361879110336,0.01662002194591104,-0.016900232061743736,0.47162647028108867,0.5283840298652649,0.4717709373195507,0.5288176536560059,-0.14975906149620485,-0.11096317321062088,-0.15125553870861724,-0.12995321303606033
0.006596248872171362,-0.0461643747985363,-0.007875351520872247,0.0445256382226944,0.01624514255008227,-0.01669912412762642,0.015849267891966848,-0.017605625092983246,0.4717916728340086,0.5285090804100037,0.47192583163796187,0.5289730429649353,-0.10443760299228926,-0.0707888975739479,-0.10811095839857743,-0.09135343134403229
0.006572030891270149,-0.0457373708486557,-0.007844756467573794,0.044093936681747437,0.015554891941330043,-0.017359424382448196,0.015108141368296303,-0.018314363434910774,0.4717972691227059,0.5285021066665649,0.4719214586140411,0.5289947390556335,-0.07396517331997512,-0.04746215417981148,-0.07970038605034052,-0.06911046802997589
0.0065486982131896425,-0.045426853001117706,-0.007820157431501997,0.043779026716947556,0.014947073680091107,-0.017980292439460754,0.014459094320039998,-0.018963851034641266,0.4716762479666382,0.5283968448638916,0.47179338319364206,0.5289148092269897,-0.058949831250259495,-0.04051830619573593,-0.06659948113576966,-0.06294324994087219
0.0065250648981989325,-0.045248888432979584,-0.0078008560932216475,0.04359620437026024,0.014462643017990369,-0.01851271092891693,0.013945398080414445,-0.01950605772435665,0.4714690657966846,0.5282305479049683,0.4715823846453025,0.5287678241729736,-0.05823578907831999,-0.04770169034600258,-0.06751684469233378,-0.07058270275592804
0.0065005873483235,-0.045196838676929474,-0.007785456103377689,0.04353824630379677,0.014122448667733333,-0.018924210220575333,0.013589453074050755,-0.019911492243409157,0.47121856429437603,0.5280376672744751,0.47133008331783005,0.5285888314247131,-0.06923027354423482,-0.06553893908858299,-0.07969093783894866,-0.08845273405313492
0.006475510099501474,-0.045246195048093796,-0.007771995245941702,0.04358132183551788,0.0139291460394393,-0.019199956208467484,0.01339406694361513,-0.020168783143162727,0.47096501979446825,0.5278487801551819,0.47107519954544663,0.528408408164978,-0.08851722054433052,-0.090055912733078,-0.09964073698491457,-0.11261869221925735
0.006450507817151082,-0.0453655980527401,-0.007758441221445081,0.043695155531167984,0.013870638072184749,-0.019340921193361282,0.013345845155721812,-0.02028275839984417,0.47074206594429185,0.5276877880096436,0.4708501683106423,0.5282503962516785,-0.1124681384838629,-0.11740056797862053,-0.12376173647099911,-0.1393323764204979
0.006426057644776604,-0.045523226261138916,-0.007743381432902817,0.04384878650307655,0.013924283062849157,-0.019361309707164764,0.013419745008865367,-0.02027118392288685,0.4705743208248995,0.527572751045227,0.4706787889475653,0.5281324982643127,-0.13773566705611467,-0.14424780383706093,-0.14875752616701743,-0.16535837203264236
0.006402575540616371,-0.045690298080444336,-0.007725881654739307,0.04401451721787453,0.014061314682726936,-0.019284017384052277,0.013583663670984857,-0.0201607346534729,0.47047608622945014,0.5275126695632935,0.47057522564426324,0.5280650854110718,-0.16155693960168943,-0.16806884668767452,-0.17195459909195754,-0.18825605511665344
0.006380299002479892,-0.045845985412597656,-0.007705535604780582,0.04417148977518082,0.014250584163439078,-0.019137080758810043,0.013802677291621476,-0.019982799887657166,0.4704513143511268,0.5275099277496338,0.47054393649926646,0.5280519127845764,-0.18179156026580015,-0.18699630163609982,-0.1913306999031424,-0.2062598243355751
0.006359013086473415,-0.045974504202604294,-0.007682691831263375,0.04430370032787323,0.014461849896869248,-0.01895003765821457,0.014042995709782053,-0.019769392907619476,0.4704952204616184,0.5275617241859436,0.4705806757574206,0.5280897617340088,-0.19702828160918123,-0.19993484020233154,-0.20557629921008327,-0.21837856620550156
0.006338461846494769,-0.046065811067819595,-0.007657971906723501,0.0444001704454422,0.014668170017080246,-0.01875116676092148,0.014274688341302619,-0.019550837576389313,0.47059608097931577,0.5276579856872559,0.4706746314482572,0.528172492980957,-0.20646573106922364,-0.2064407803118229,-0.21406054344050543,-0.22425781935453415
0.006318440958447083,-0.04611371085047722,-0.0076321180032692644,0.04445400461554527,0.014847663117424194,-0.018564723432064056,0.01447359179663609,-0.01935264840722084,0.47073784329734186,0.5277872085571289,0.47081061220560894,0.5282882452011108,-0.20994765656528266,-0.2066764049232006,-0.21670694310401503,-0.22411663085222244
0.00629880403727291,-0.04611634835600853,-0.007605913941538221,0.04446268826723099,0.014984632803720997,-0.018410060554742813,0.014622624035227797,-0.019194114953279495,0.4709028701583092,0.5279353260993958,0.4709715260212923,0.5284245610237122,-0.2079071934741172,-0.2014243509620428,-0.21399904082431737,-0.21870769560337067
0.006279419668730529,-0.0460769347846508,-0.007580136685223031,0.04442843049764633,0.015069752326128266,-0.0182998925447464,0.01471204301203132,-0.019087783992290497,0.47107382767939376,0.5280870199203491,0.4711402841834715,0.5285673141479492,-0.2011961808844795,-0.19183135591447353,-0.2068303181740512,-0.20917337387800217
0.00626027297696704,-0.04600201174616814,-0.007555394358782121,0.0443575493991375,0.015100163036795712,-0.018240630626678467,0.014739442210478034,-0.01903870888054371,0.4712355470257887,0.5282301306724548,0.471301739673382,0.528704822063446,-0.19100548613838017,-0.17930138856172562,-0.19641715319352002,-0.19689630717039108
0.006241468148700293,-0.045900147408246994,-0.0075320706434574124,0.04425843060016632,0.01507885344444507,-0.018232662230730057,0.01470888799764253,-0.0190457534044981,0.4713761643666648,0.528353750705719,0.4714437992648122,0.5288261771202087,-0.17874104896470022,-0.16542584635317326,-0.18413709861545036,-0.18339715898036957
0.006223189493782097,-0.04578274115920067,-0.007510312466009521,0.04414277523756027,0.01501350570844469,-0.01827109232544899,0.014629607670550989,-0.019101854413747787,0.47148759636396775,0.528451144695282,0.4715579801882488,0.5289244651794434,-0.1657534306821719,-0.15157917514443398,-0.17130845365534897,-0.16998853534460068
0.006205417435078701,-0.045659977942705154,-0.00749032258040431,0.044020410627126694,0.014915081691348715,-0.018347367644309998,0.014514500774370043,-0.019196582958102226,0.4715658395551814,0.5285189151763916,0.4716396678500514,0.52899569272995,-0.1533382885130861,-0.13907216489315033,-0.15918439160797046,-0.157930888235569
