left_hip_current_position,left_hip_target_position,left_hip_current_velocity,left_hip_torque,right_hip_current_position,right_hip_target_position,right_hip_current_velocity,right_hip_torque,left_shoulder_current_position,left_shoulder_target_position,left_shoulder_current_velocity,left_shoulder_torque,right_shoulder_current_position,right_shoulder_target_position,right_shoulder_current_velocity,right_shoulder_torque,left_leg_current_position,left_leg_target_position,left_leg_current_velocity,left_leg_torque,right_leg_current_position,right_leg_target_position,right_leg_current_velocity,right_leg_torque,left_wheel_current_velocity,left_wheel_target_velocity,left_wheel_current_sin_position,left_wheel_current_cos_position,left_wheel_torque,right_wheel_current_velocity,right_wheel_target_velocity,right_wheel_current_sin_position,right_wheel_current_cos_position,right_wheel_torque
0,0,0,0,0,0,0,0,0,-0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0
0,0,0,0,0,0,0,0,0,-0.0044,0,0,0,-0.0044,0,0,0,0.013,0,0,0,0.013,0,0,0,0,0,0,0,0,-0,0,0,0
0,0,0,0,0,0,0,0,0,-0.0088,0,0,0,-0.0088,0,0,0,0.026,0,0,0,0.026,0,0,0,0,0,0,0,0,-0,0,0,0
0,0,0,0,0,0,0,0,0,-0.0132,0,0,0,-0.0132,0,0,0,0.039,0,0,0,0.039,0,0,0,0,0,0,0,0,-0,0,0,0
0,0,0,0,0,0,0,0,0,-0.0176,0,0,0,-0.0176,0,0,0,0.052,0,0,0,0.052,0,0,0,0,0,0,0,0,-0,0,0,0
0,0,0,0,0,0,0,0,0,-0.022,0,0,0,-0.022,0,0,0,0.065,0,0,0,0.065,0,0,0,0,0,0,0,0,-0,0,0,0
0,0,0,0,0,0,0,0,0,-0.0264,0,0,0,-0.0264,0,0,0,0.078,0,0,0,0.078,0,0,0,0,0,0,0,0,-0,0,0,0
0,0,0,0,0,0,0,0,0,-0.0308,0,0,0,-0.0308,0,0,0,0.091,0,0,0,0.091,0,0,0,0,0,0,0,0,-0,0,0,0
0,0,0,0,0,0,0,0,0,-0.0352,0,0,0,-0.0352,0,0,0,0.104,0,0,0,0.104,0,0,0,0,0,0,0,0,-0,0,0,0
0,0,0,0,0,0,0,0,0,-0.0396,0,0,0,-0.0396,0,0,0,0.117,0,0,0,0.117,0,0,0,0,0,0,0,0,-0,0,0,0
0,0,0,0,0,0,0,0,0,-0.044,0,0,0,-0.044,0,0,0,0.13,0,0,0,0.13,0,0,0,0,0,0,0,0,-0,0,0,0
0,0,0,0,0,0,0,0,0,-0.0484,0,0,0,-0.0484,0,0,0,0.143,0,0,0,0.143,0,0,0,0,0.865512,-0.500888,0.04,-0.010472,-0,-0.48218,-0.876072,-0
0.0471125,0,0.0122108,-0.205128,-0.0688562,0,0.0366287,0.275457,-0.00476837,-0.0528,0.0122108,0.0175819,-0.0257492,-0.0528,-0.0122108,0.146521,-0.00743866,0.156,0.0610504,0.0175819,0.0143051,0.156,0.0366287,-0.0527477,-0.020944,0,0.865512,-0.500888,0,-0,-0,-0.48218,-0.876072,-0
0.0421534,0,-0.695972,-0.697435,-0.0646601,0,0.94017,0.908424,-0.0112534,-0.0572,-0.94017,-0.310623,-0.0291824,-0.0572,-0.598289,-0.134798,0.00782013,0.169,2.84493,1.11941,0.0299454,0.169,2.28327,1.29524,-0.010472,0,0.865512,-0.500888,0,-0,-0,-0.48218,-0.876072,-0
0.0371943,0,-0.32967,-0.967033,-0.0555048,0,0.94017,0.908424,-0.0165939,-0.0616,-0.451771,-0.779488,-0.0322351,-0.0616,-0.256409,-0.474726,0.0310898,0.182,2.40537,1.91648,0.0478754,0.182,1.94139,1.85788,0.010472,0,0.863972,-0.50354,-0.16,0.010472,-0,-0.484865,-0.874589,-0
0.0352869,0,-0.0854683,-1.10769,-0.0478754,0,0.76923,0.920147,-0.0219345,-0.066,-0.622711,-0.615385,-0.034524,-0.066,-0.207569,-0.568499,0.0471125,0.195,1.30647,3.04176,0.059701,0.195,0.76923,3.05348,0.10472,0,0.860085,-0.51015,-0.36,0.0628319,-0,-0.487545,-0.873098,-0
0.0349054,0,-0.0122108,-1.22491,-0.0425348,0,0.50061,1.01392,-0.028038,-0.0704,-0.72039,-0.43956,-0.0375757,-0.0704,-0.427349,-0.392673,0.0543604,0.208,0.525032,3.87399,0.0642786,0.208,0.354092,3.59267,0.167552,0,0.857725,-0.514108,-0.28,0.115192,-0,-0.491563,-0.870842,-0.04
0.0356684,0,0.0366287,-1.22491,-0.0394831,0,0.28083,1.07253,-0.034524,-0.0748,-0.76923,-0.35751,-0.0417719,-0.0748,-0.427349,-0.322344,0.0577936,0.221,0.427349,4.21392,0.0677118,0.221,0.402931,3.86227,0.146608,0,0.857725,-0.514108,-0.12,0.115192,-0,-0.492898,-0.870087,-0
0.0352869,0,-0.0366287,-1.20147,-0.0375757,0,0.231991,1.08425,-0.0417719,-0.0792,-0.695972,-0.36923,-0.0452051,-0.0792,-0.451771,-0.134798,0.0612268,0.234,0.37851,4.44835,0.0711451,0.234,0.402931,4.10843,0.0628319,0,0.858517,-0.512786,0,0.0837758,-0,-0.492898,-0.870087,-0
0.0356684,0,-0.0122108,-1.14286,-0.0368128,0,0.0122108,1.22491,-0.0478754,-0.0836,-0.647129,-0.334066,-0.0497828,-0.0836,-0.476189,-0.263737,0.066186,0.247,0.671551,4.48352,0.0761042,0.247,0.476189,4.3663,-0.010472,0,0.860085,-0.51015,0,0.0314159,-0,-0.492898,-0.870087,-0
0.0356684,0,0.0854683,-1.23663,-0.0371943,0,-0.0610504,1.2718,-0.053216,-0.088,-0.54945,-0.345787,-0.0551233,-0.088,-0.54945,-0.36923,0.071908,0.26,0.598289,4.83517,0.0810633,0.26,0.573872,4.65934,-0.0523599,0,0.860867,-0.508831,-0.08,0.0523599,-0,-0.496896,-0.86781,-0.2
0.0360498,0,0.0610504,-1.26007,-0.0371943,0,-0.0122108,1.22491,-0.0574121,-0.0924,-0.50061,-0.427839,-0.058938,-0.0924,-0.402931,-0.591942,0.0768671,0.273,0.54945,5.10476,0.0860224,0.273,0.647129,4.87033,-0.0314159,0,0.860085,-0.51015,-0.24,0.0942478,-0,-0.499555,-0.866282,-0.2
0.0364313,0,0.0610504,-1.28352,-0.0371943,0,-0.0366287,1.23663,-0.0612268,-0.0968,-0.427349,-0.474726,-0.0616083,-0.0968,-0.231991,-0.673992,0.0837336,0.286,0.842491,5.15165,0.091363,0.286,0.622711,5.01099,0,0,0.859302,-0.511468,-0.16,0.115192,-0,-0.50221,-0.864746,-0.12
0.0371943,0,0.15873,-1.41245,-0.0371943,0,-0.0366287,1.22491,-0.0665674,-0.1012,-0.427349,-0.486446,-0.0642786,-0.1012,-0.256409,-0.685715,0.0921259,0.299,0.94017,5.11648,0.0989933,0.299,0.818069,4.92894,0.0314159,0,0.858517,-0.512786,-0.2,0.0837758,-0,-0.500883,-0.865515,-0
0.0383387,0,0.0366287,-1.30696,-0.0371943,0,0.0366287,1.20147,-0.0707636,-0.1056,-0.354092,-0.545055,-0.0680933,-0.1056,-0.402931,-0.568499,0.102045,0.312,1.03785,5.21026,0.107767,0.312,0.72039,5.21026,0.0314159,0,0.858517,-0.512786,-0.08,0.020944,-0,-0.500883,-0.865515,-0.08
0.0387201,0,0.0854683,-1.34212,-0.0371943,0,-0.0366287,1.23663,-0.0734339,-0.11,-0.231991,-0.744322,-0.0711451,-0.11,-0.451771,-0.603662,0.110056,0.325,1.03785,5.35092,0.113489,0.325,0.671551,5.55018,0.020944,0,0.858517,-0.512786,-0.12,-0,-0,-0.500883,-0.865515,-0.08
0.0391016,0,0.134312,-1.40073,-0.0371943,0,-0.0366287,1.23663,-0.0757227,-0.1144,-0.15873,-0.802931,-0.0745783,-0.1144,-0.427349,-0.533333,0.1215,0.338,1.25763,5.18681,0.120737,0.338,0.866909,5.62051,0,0,0.858517,-0.512786,-0.16,-0,-0,-0.50221,-0.864746,-0.2
0.040246,0,0.0854683,-1.40073,-0.0371943,0,0.0122108,1.23663,-0.0780115,-0.1188,-0.134312,-0.861538,-0.0791559,-0.1188,-0.50061,-0.498169,0.133707,0.351,1.52625,4.98755,0.129892,0.351,1.20879,5.30403,0.010472,0,0.857725,-0.514108,-0.16,0.0314159,-0,-0.504859,-0.863202,-0.28
0.040246,0,0.0366287,-1.36557,-0.0371943,0,-0.0610504,1.23663,-0.0806818,-0.1232,-0.207569,-0.861538,-0.0837336,-0.1232,-0.525032,-0.568499,0.147821,0.364,1.57509,4.92894,0.142481,0.364,1.37973,5.24542,0.010472,0,0.857725,-0.514108,-0.16,0.0628319,-0,-0.506183,-0.862426,-0.2
0.040246,0,0.0854683,-1.35385,-0.0375757,0,0.0122108,1.22491,-0.0837336,-0.1276,-0.256409,-0.826374,-0.0875483,-0.1276,-0.354092,-0.791208,0.162318,0.377,1.81929,4.6359,0.154688,0.377,1.23321,5.37436,0.020944,0,0.856936,-0.515423,-0.28,0.0523599,-0,-0.506183,-0.862426,-0.16
0.040246,0,-0.0610504,-1.35385,-0.0371943,0,-0.0122108,1.22491,-0.0875483,-0.132,-0.525032,-0.697435,-0.0909815,-0.132,-0.50061,-0.744322,0.17834,0.39,1.84371,4.48352,0.166514,0.39,1.37973,5.24542,0.0523599,0,0.855351,-0.518049,-0.28,0.020944,-0,-0.506183,-0.862426,-0.16
0.040246,0,0.0366287,-1.35385,-0.0371943,0,0.0366287,1.23663,-0.091363,-0.1364,-0.427349,-0.826374,-0.0936518,-0.1364,-0.28083,-0.896704,0.196269,0.403,1.94139,4.17875,0.180247,0.403,1.50183,5.21026,0.0628319,0,0.854556,-0.51936,-0.4,-0,-0,-0.506183,-0.862426,-0.16
0.040246,0,0.0122108,-1.3304,-0.0371943,0,-0.0610504,1.22491,-0.0959415,-0.1408,-0.402931,-0.838095,-0.096323,-0.1408,-0.28083,-0.87326,0.215724,0.416,2.16117,3.79194,0.196651,0.416,1.84371,4.75311,0.0733038,0,0.852959,-0.521978,-0.36,-0,-0,-0.506183,-0.862426,-0.2
0.0398645,0,-0.0366287,-1.30696,-0.0371943,0,0.0610504,1.21319,-0.100138,-0.1452,-0.427349,-0.826374,-0.0993748,-0.1452,-0.305252,-0.884981,0.236324,0.429,2.25885,3.55751,0.212672,0.429,1.69719,4.89377,0.0733038,0,0.852157,-0.523286,-0.4,-0,-0,-0.507505,-0.861649,-0.28
0.0391016,0,-0.0366287,-1.24835,-0.0368128,0,0.0610504,1.17802,-0.103952,-0.1496,-0.402931,-0.931868,-0.103571,-0.1496,-0.598289,-0.732601,0.257305,0.442,2.40537,3.1707,0.229458,0.442,2.01465,4.28425,0.0628319,0,0.852157,-0.523286,-0.32,0.010472,-0,-0.507505,-0.861649,-0.24
0.0379572,0,-0.207569,-1.10769,-0.0364313,0,0.0366287,1.18974,-0.107386,-0.154,-0.402931,-0.884981,-0.10853,-0.154,-0.622711,-0.603662,0.278286,0.455,2.33211,2.86593,0.248531,0.455,2.03907,4.0967,0.0314159,0,0.852157,-0.523286,-0.28,0.010472,-0,-0.508825,-0.86087,-0.28
0.0368128,0,-0.0610504,-1.18974,-0.0360498,0,0.0610504,1.11941,-0.1112,-0.1584,-0.50061,-0.838095,-0.114252,-0.1584,-0.671551,-0.591942,0.298886,0.468,2.35653,2.69011,0.267223,0.468,2.08791,3.92088,0.010472,0,0.852157,-0.523286,-0.32,0.020944,-0,-0.508825,-0.86087,-0.24
0.0360498,0,-0.231991,-1.06081,-0.0341425,0,0.28083,0.838095,-0.116159,-0.1628,-0.54945,-0.732601,-0.119974,-0.1628,-0.598289,-0.709158,0.320249,0.481,2.25885,2.54945,0.288587,0.481,2.33211,3.3348,0,0,0.852157,-0.523286,-0.36,0.010472,-0,-0.508825,-0.86087,-0.16
0.034524,0,-0.0610504,-1.10769,-0.0314722,0,0.402931,0.709158,-0.121119,-0.1672,-0.598289,-0.697435,-0.124552,-0.1672,-0.451771,-0.744322,0.339704,0.494,2.21001,2.26813,0.309186,0.494,2.23443,3.25275,0,0,0.852157,-0.523286,-0.32,-0.020944,-0,-0.506183,-0.862426,-0.04
0.034524,0,0.0854683,-1.17802,-0.028801,0,0.305252,0.697435,-0.127604,-0.1716,-0.72039,-0.591942,-0.129892,-0.1716,-0.647129,-0.533333,0.360304,0.507,2.25885,2.02198,0.330548,0.507,2.40537,2.94798,0.010472,0,0.851354,-0.524592,-0.36,-0.0628319,-0,-0.503535,-0.863975,-0
0.034524,0,-0.0122108,-1.11941,-0.0265121,0,0.32967,0.603662,-0.134089,-0.176,-0.72039,-0.521612,-0.135996,-0.176,-0.647129,-0.334066,0.38014,0.52,2.11233,1.95165,0.352293,0.52,2.28327,2.67839,0.010472,0,0.852157,-0.523286,-0.2,-0.0942478,-0,-0.500883,-0.865515,-0.04
