left_hip_current_position,left_hip_target_position,left_hip_current_velocity,left_hip_torque,right_hip_current_position,right_hip_target_position,right_hip_current_velocity,right_hip_torque,left_shoulder_current_position,left_shoulder_target_position,left_shoulder_current_velocity,left_shoulder_torque,right_shoulder_current_position,right_shoulder_target_position,right_shoulder_current_velocity,right_shoulder_torque,left_leg_current_position,left_leg_target_position,left_leg_current_velocity,left_leg_torque,right_leg_current_position,right_leg_target_position,right_leg_current_velocity,right_leg_torque,left_wheel_current_velocity,left_wheel_target_velocity,left_wheel_current_sin_position,left_wheel_current_cos_position,left_wheel_torque,right_wheel_current_velocity,right_wheel_target_velocity,right_wheel_current_sin_position,right_wheel_current_cos_position,right_wheel_torque
0,0,0,0,0,0,0,0,0,-0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0
0.0127792,0,0.0122108,-0.310623,-0.0123978,0,-0.0122108,0.298901,0.00247955,-0,0.0610504,-0.0644684,0.0043869,-0,0.0122108,-0.111355,-0.0120163,0,0.0610504,0.28718,-0.0127792,0,0.0366287,0.322344,-0.010472,0,-0.932993,0.359895,-0.445528,-0,-0,0.733697,-0.679476,0.471
0.0120163,0,-0.10989,-0.416117,-0.0120163,0,0.0366287,0.427839,0.00247955,-0,0.0610504,-0.0996342,0.0043869,-0,0.0610504,-0.146521,-0.0116348,0,0.0854683,0.451283,-0.0123978,0,0.0610504,0.451283,0.010472,0,-0.932993,0.359895,-0.419954,-0,-0,0.733697,-0.679476,0.471
0.0108719,0,-0.207569,-0.322344,-0.0120163,0,0.0610504,0.486446,0.00247955,-0,0.0122108,-0.111355,0.00400543,-0,-0.0366287,-0.158241,-0.0120163,0,-0.0122108,0.486446,-0.0123978,0,0.0366287,0.50989,0,0,-0.933544,0.358463,-0.419954,-0,-0,0.733697,-0.679476,0.471
0.0101089,0,-0.0122108,-0.392673,-0.0120163,0,-0.0122108,0.498169,0.00209808,-0,0.0122108,-0.0996342,0.00400543,-0,-0.0366287,-0.169964,-0.0116348,0,0.0122108,0.486446,-0.0123978,0,-0.0122108,0.521612,0,0,-0.932993,0.359895,-0.419954,-0,-0,0.733697,-0.679476,0.471
0.00972748,0,0.0366287,-0.427839,-0.0120163,0,0.0122108,0.498169,0.00247955,-0,0.0610504,-0.111355,0.00400543,-0,-0.0610504,-0.169964,-0.0116348,0,0.0122108,0.498169,-0.0123978,0,-0.0366287,0.545055,0.010472,0,-0.932993,0.359895,-0.419954,0.020944,-0,0.732654,-0.680601,0.471
0.0101089,0,-0.0122108,-0.427839,-0.0120163,0,0.0122108,0.498169,0.00247955,-0,0.0366287,-0.111355,0.0043869,-0,0.0122108,-0.181684,-0.0116348,0,0.0122108,0.486446,-0.0123978,0,-0.0122108,0.533333,0.010472,0,-0.932993,0.359895,-0.419954,0.020944,-0,0.732654,-0.680601,0.471
0.0101089,0,0.0366287,-0.427839,-0.0120163,0,-0.0122108,0.486446,0.00209808,-0,0.0366287,-0.0879116,0.00400543,-0,-0.0122108,-0.146521,-0.0116348,0,0.0122108,0.474726,-0.0123978,0,-0.0366287,0.545055,0,0,-0.932993,0.359895,-0.445528,0.010472,-0,0.732654,-0.680601,0.471
0.00972748,0,-0.0122108,-0.427839,-0.0120163,0,0.0366287,0.474726,0.00209808,-0,-0.0122108,-0.0996342,0.00400543,-0,0.0122108,-0.169964,-0.0120163,0,-0.0366287,0.498169,-0.0123978,0,-0.0122108,0.545055,0,0,-0.932993,0.359895,-0.419954,-0,-0,0.732654,-0.680601,0.471
0.00972748,0,0.0122108,-0.427839,-0.0120163,0,-0.0122108,0.486446,0.00209808,-0,0.0366287,-0.111355,0.00400543,-0,-0.0610504,-0.134798,-0.0116348,0,0.0366287,0.463003,-0.0123978,0,-0.0854683,0.556776,0,0,-0.932993,0.359895,-0.419954,-0.010472,-0,0.733697,-0.679476,0.471
