left_hip_current_position,left_hip_target_position,left_hip_current_velocity,left_hip_torque,right_hip_current_position,right_hip_target_position,right_hip_current_velocity,right_hip_torque,left_shoulder_current_position,left_shoulder_target_position,left_shoulder_current_velocity,left_shoulder_torque,right_shoulder_current_position,right_shoulder_target_position,right_shoulder_current_velocity,right_shoulder_torque,left_leg_current_position,left_leg_target_position,left_leg_current_velocity,left_leg_torque,right_leg_current_position,right_leg_target_position,right_leg_current_velocity,right_leg_torque,left_wheel_current_velocity,left_wheel_target_velocity,left_wheel_current_sin_position,left_wheel_current_cos_position,left_wheel_torque,right_wheel_current_velocity,right_wheel_target_velocity,right_wheel_current_sin_position,right_wheel_current_cos_position,right_wheel_torque
0,0,0,0,0,0,0,0,0,-0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0
0.00286102,0,0.0366287,-0.0410252,-0.0329981,0,0.0366287,0.275457,-0.0146866,-0,0.0122108,0.111355,0.00209808,-0,-0.0610504,-0.00586128,-0.00782013,0,0.0122108,0.0527477,0.00209808,0,-0.0854683,-0.00586128,0,0,-0.975702,0.219101,-0.445528,-0,-0,0.795837,-0.605511,0.419954
0.00247955,0,-0.0122108,-0.0527477,-0.0329981,0,0.134312,0.463003,-0.0143051,-0,0.134312,0.298901,0.00209808,-0,-0.0854683,-0.0293045,-0.00782013,0,0.0610504,0.158241,0.00209808,0,-0.0366287,-0.0410252,0,0,-0.975702,0.219101,-0.471,-0,-0,0.795837,-0.605511,0.419954
0.00247955,0,0.0122108,-0.0761909,-0.0307083,0,0.32967,0.638828,-0.0131607,-0,0.183151,0.263737,0.00247955,-0,0.0122108,-0.0879116,-0.00782013,0,0.0122108,0.228571,0.00209808,0,0.0122108,-0.0761909,0,0,-0.975702,0.219101,-0.445528,0.010472,-0,0.794907,-0.606731,0.394277
0.00247955,0,0.0122108,-0.111355,-0.0272751,0,0.402931,0.533333,-0.0116348,-0,0.0854683,0.298901,0.00247955,-0,-0.0854683,-0.0644684,-0.00782013,0,-0.0122108,0.21685,0.00209808,0,-0.0366287,-0.0527477,-0.020944,0,-0.976037,0.217604,-0.445528,0.020944,-0,0.794907,-0.606731,0.394277
0.00286102,0,0.0366287,-0.0879116,-0.0242233,0,0.28083,0.533333,-0.0104904,-0,0.207569,0.169964,0.00209808,-0,-0.0122108,-0.0527477,-0.00743866,0,-0.0366287,0.240294,0.00209808,0,0.0122108,-0.0410252,-0.020944,0,-0.976037,0.217604,-0.445528,0.010472,-0,0.794907,-0.606731,0.419954
0.00286102,0,0.0122108,-0.111355,-0.021553,0,0.28083,0.521612,-0.00934601,-0,-0.0366287,0.263737,0.00209808,-0,-0.0366287,-0.0644684,-0.00743866,0,0.0610504,0.228571,0.00171661,0,-0.0854683,-0.0527477,-0.010472,0,-0.976037,0.217604,-0.471,-0,-0,0.794907,-0.606731,0.419954
0.00286102,0,-0.0122108,-0.0996342,-0.0200272,0,0.28083,0.43956,-0.00896454,-0,0.0854683,0.240294,0.00209808,-0,0.0366287,-0.0761909,-0.00743866,0,0.0122108,0.228571,0.00171661,0,0.0122108,-0.0410252,0,0,-0.976037,0.217604,-0.471,-0,-0,0.794907,-0.606731,0.419954
0.00286102,0,-0.0366287,-0.0879116,-0.0188828,0,0.0366287,0.568499,-0.0082016,-0,0.0854683,0.181684,0.00209808,-0,-0.0366287,-0.0527477,-0.00743866,0,0.0122108,0.252014,0.00171661,0,-0.0610504,-0.0410252,0.010472,0,-0.975702,0.219101,-0.471,-0,-0,0.794907,-0.606731,0.419954
0.00286102,0,0.0854683,-0.111355,-0.0181198,0,0.231991,0.43956,-0.00705719,-0,0.0610504,0.169964,0.00209808,-0,-0.0122108,-0.0527477,-0.00743866,0,0.0122108,0.240294,0.00171661,0,-0.0610504,-0.0410252,0.020944,0,-0.976037,0.217604,-0.445528,-0,-0,0.794907,-0.606731,0.394277
